ID,MSE,PSNR_dB,SSIM
00100,0.0021554349952029985,26.664650703050302,0.8792818349944939
00101,0.00022810511408923953,36.41864977784118,0.9446772788504619
00102,0.0011809351161862459,29.277739630608046,0.8532293869949986
00103,0.0003324206196099052,34.78312045342011,0.890380472292355
00104,0.0006719628887236042,31.726547115705934,0.897198915697637
00105,0.00025286142973194437,35.971174107981994,0.9311316277165366
00106,0.002466847698020589,26.07857662813079,0.8241193372350984
00107,0.0012597448536559176,28.997174071602487,0.8799994960781455
00108,0.0004937897034886437,33.064579702256474,0.9028216064167897
00109,0.0010315491375062445,29.865100797222954,0.7639081113717958
00110,0.0007927174080601705,31.0088160460279,0.7581803798802936
00111,0.0004351637899087452,33.613472495623554,0.8888192746305037
00112,0.0024619690247597486,26.087174154422907,0.8268869437810102
00113,0.00034228066138545545,34.65617637499105,0.8989850094729248
00114,0.0015797029240252978,28.014245779742126,0.884150054890938
00115,0.0003687131526678609,34.33311370044569,0.8749332029166959
00116,0.0007980237930715706,30.97984159970515,0.8897636435001804
00117,0.0038349673473924754,24.162383294744888,0.6341688504011201
00118,0.001554093766588787,28.085227814916184,0.8728545930780957
00119,0.0012034182975864483,29.195833894868642,0.9027138873631535
00120,0.0011386372035735238,29.436146302533267,0.9188167474141428
00121,0.00038010926247524873,34.20091547411163,0.8841496550082052
00122,0.0010550519177486858,29.767261687672466,0.9145002582078837
00123,0.0002525033789705624,35.97732805828682,0.9307252598552443
00124,0.0008566645524217131,30.671892032242237,0.8871397112934547
00125,0.0027322785320139705,25.634750301915187,0.8854723156226211
00126,0.001332437100530401,28.753532832674814,0.9337009227388775
00127,0.000925649576406026,30.3355339327089,0.8617009111455836
00128,0.001234787728260744,29.08407695334359,0.8910680565351028
00129,0.0007150116033881102,31.456869103016633,0.8483329396644576
00130,0.0004460458101850417,33.506205357073625,0.8701894460808117
00131,0.0013632653395666177,28.654196068986828,0.8111533662653675
00132,0.003010099987600921,25.214190780466502,0.8399544582619378
00133,0.0005246007665051697,32.80171079188436,0.9068653890365884
00134,0.0003487899742063916,34.57436007138035,0.8904661361516278
00135,0.000693993270036207,31.586447410729697,0.9178468441348416
00136,0.0008702891867980343,30.60336412482637,0.8500549770617247
00137,0.0006622999387539732,31.789452851143874,0.9264423697763908
00138,0.0004913363282011898,33.086211240108355,0.9143809819775124
00139,0.0005135760073268035,32.89395273352295,0.8428635783660412
00140,0.00034681655206243885,34.599001836934015,0.8909886994255392
00141,0.00036454550930748445,34.38248247298317,0.8990487263082076
00142,0.0018114633194421768,27.419704556262097,0.8907716385669835
00143,0.0014107505665885698,28.505497666356348,0.8494117498257178
00144,0.0013098388856334618,28.82782120667518,0.8616131612694886
00145,0.0018000094860451208,27.447252061599187,0.8061735608280652
00146,0.006627981909198088,21.786186856398714,0.7160150196698808
00147,0.0014621421071463912,28.35010415784259,0.8851573230250704
00148,0.0005019455667806978,32.99343377134951,0.8875304856299865
00149,0.0006457874144997949,31.899104230329346,0.8295756924829528
00150,0.0017506803152213108,27.567931514669986,0.8168859394919933
00151,0.0004558965064742588,33.41133735775149,0.8696391335741561
00152,0.00033706664752022485,34.7228421845064,0.9176420140256634
00153,0.00038816831407842526,34.109799186708145,0.8995415643374793
00154,0.0026744846185958794,25.72759895461296,0.8004653057614298
00155,0.00076829305854412,31.144730906041808,0.7901159518496665
00156,0.004392270299551085,23.57310941328603,0.8287332374199337
00157,0.0058286409963642745,22.3443269336806,0.5881221328179962
00158,0.0014611981227587978,28.352908944097646,0.8802842015582647
00159,0.0033849594119516446,24.704465344444536,0.8314012453932837
00160,0.0017704304027900796,27.519211410766218,0.8108838095500195
00161,0.0007433341902687808,31.288158910049706,0.8081704797914672
00162,0.0025781243733118036,25.886961353378872,0.7843283391730419
00163,0.0008358645016709454,30.778641184294116,0.8662971016104304
00164,0.0050077618118283575,23.003563360014304,0.815355841769455
00165,0.0004726801346874197,33.254326493935615,0.8888006169253533
00166,0.00746934099275153,21.267177135576645,0.5217659865792267
00167,0.001432523403684182,28.438982740671214,0.7437432825106922
00168,0.00049686586008327,33.03760842833486,0.8538796390973366
00169,0.0016209602520303617,27.902276344639624,0.9171187952137904
00170,0.001045649788305229,29.806137461319548,0.8660176857281129
00171,0.0005196544714612943,32.84285331395885,0.8927445425930495
00172,0.0006402433350561961,31.936549338488064,0.8522919230831945
00173,0.0006168803487131817,32.097990643829654,0.8545396284870596
00174,0.0004904978320663465,33.093629078022865,0.8846519708242051
00175,0.004415225683210012,23.550470926599644,0.7127370182663021
00176,0.0026051643092215456,25.841648802961718,0.8955415465417473
00177,0.0018236993330035416,27.390467607339367,0.8454881655328442
00178,0.000521476201135216,32.8276550689516,0.8520376126523881
00179,0.0007592700771218619,31.19603715355757,0.9158612409265275
00180,0.0006685890474701814,31.748407421051365,0.9011186422179276
00181,0.0004567405012999609,33.40330475778178,0.897566248970153
00182,0.00036446664878767834,34.38342206468531,0.919223665194327
00183,0.0003755418881556615,34.25341614504656,0.9080622977778473
00184,0.0006736355087664359,31.71575028315308,0.9094479454696629
00185,0.00037537946049916556,34.255294941971194,0.9213726058964657
00186,0.0005310245217151747,32.74885423551878,0.8821988659911016
00187,0.0005026251692326631,32.9875576766312,0.9013238293189959
00188,0.0004107497644807944,33.86422676912306,0.9220399370797987
