ID,MSE,PSNR_dB,SSIM
00000,0.0021247315843361996,26.72695926227563,0.9327121752430685
00001,0.0009374707768085623,30.280422613800777,0.9708013903873507
00002,0.007907264264296164,21.01973746644795,0.8720695938100107
00003,0.004106677501231616,23.865094010993168,0.8814983496413333
00004,0.0032851947035283614,24.834388860243962,0.815899685738259
00005,0.009768222693133611,20.10184448029529,0.8115923486475367
00006,0.006419276137226169,21.925139419206232,0.8056228191599075
00007,0.002429696056511223,26.14448051190162,0.8488529355454375
00008,0.0032217704418900338,24.91905407235274,0.9074963683960959
00009,0.008918200123451079,20.497227863556265,0.7475342461225409
00010,0.002742086647227581,25.6191882605334,0.8493625677365344
00011,0.006708777646346215,21.733566020077415,0.8272251794751355
00012,0.000703555388909597,31.527017061171144,0.9469245387153933
00013,0.006192766208548957,22.08115315316387,0.8712304788423353
00014,0.005784122697671338,22.377625029963028,0.7221048627973232
00015,0.00594496918741494,22.258503919738587,0.8929026357072871
00016,0.011665383141977527,19.331009925141203,0.879386474713101
00017,0.004769850854080441,23.21495200469851,0.9006389142232365
00018,0.0026591786643526787,25.752524823992438,0.9183706081967102
00019,0.011039874738244675,19.57035854215312,0.7632208641145724
00020,0.012780213196539192,18.934619013178185,0.8280993868611404
00021,0.007843105616313809,21.055119366826993,0.773473178621316
00022,0.0031922796694839645,24.958990679500374,0.8566257312268135
00023,0.0029009829907671665,25.37454817573626,0.8577936062938534
00024,0.006214314810327812,22.066067496447545,0.8431775619828841
00025,0.002614004094493854,25.826937364897155,0.8407360077253543
00026,0.00393446009668151,24.051148549489348,0.8669261469694902
00027,0.0043487493584530605,23.61635622313413,0.9092659201269271
00028,0.0031121840204456686,25.069347315084105,0.8691057179676136
00029,0.0019035507097692258,27.20435549277978,0.9050442532025045
00030,0.0012882273687410282,28.90007478377637,0.8759941198368324
00031,0.007028697404890311,21.53125153256878,0.8744670752639649
00032,0.00512923525071348,22.899473817016982,0.9111546293715946
00033,0.0015775463378883295,28.02017875194039,0.8432010423857719
00034,0.005694272229186842,22.445617741389185,0.8494891679802095
00035,0.00176511787543611,27.532262869095405,0.9003464830457233
00036,0.0019714872050456385,27.05206037153328,0.8341117027594009
00037,0.0033120162138436334,24.79907545810592,0.9437967532430775
00038,0.00048658922515277327,33.12837512150995,0.9452119778870838
00039,0.00395019395603921,24.033815798242827,0.8791271799564129
00040,0.005744266853106699,22.40765392905773,0.9301095072150929
00041,0.009378411321562754,20.27870723743936,0.9076309913652949
00042,0.004752871699860942,23.230439089946323,0.9387633111109608
00043,0.0037340056498027297,24.278250292695613,0.9381898480496602
00044,0.002272253616323931,26.435431967185295,0.9557916413468774
00045,0.0043165551118423285,23.64862709839997,0.9560856039606733
00046,0.0014450147543195666,28.40127718522064,0.9409983582954737
00047,0.0014061288648782979,28.519748765132054,0.9474014403531328
00048,0.0248811650851365,16.041292872368942,0.06181157881285193
00049,0.03260851249772661,14.866690119503613,0.052928087178822025
00050,0.024425575217937534,16.121551999312118,0.056904696829530366
00051,0.0007298187957445936,31.367849560124146,0.9503726286638994
00052,0.0009378363616039762,30.278729328918796,0.9783192167815287
00053,0.0030933033963114103,25.095774815869017,0.9427942454494769
00054,0.003673647678768301,24.349024970513913,0.6922843975517026
00055,0.0013862798260128768,28.58149096833072,0.9149095200846205
00056,0.0006456429123839404,31.900076121270647,0.937759069391177
00057,0.005021402137008171,22.991749969307303,0.8670998982561287
00058,0.0027305651631808875,25.63747454846365,0.9541698782995809
00059,0.00172116334183271,27.64177912304396,0.794413780387913
00060,0.0032021099899839,24.945637544833446,0.8350618910626508
00061,0.0011349517267295094,29.450226100663144,0.9226949152944144
00062,0.0036234120655426615,24.408822738552892,0.8263602381884994
00063,0.003000766713567052,25.22767766304124,0.9171810016050586
00064,0.0012329146479377379,29.090669876481424,0.9142915368429385
00065,0.00036802744196362145,34.341197969541085,0.9620980799227254
00066,0.0007780851073736932,31.089728970446977,0.9746412052336382
00067,0.0015212063124570665,28.17811881091389,0.908756902339519
00068,0.0010398274970259225,29.830387023393197,0.8948592185624875
00069,0.0004932823517806925,33.06904422063434,0.9697927108500153
00070,0.00038419053175910216,34.15453342377616,0.9678723194665508
00071,0.0007846625642930142,31.05317066785183,0.9272284648614004
00072,0.0007915763701316608,31.015071786831754,0.9698385410301853
00073,0.0015935832675429418,27.976252389429163,0.9602427858771989
00074,0.0016089778189450343,27.934499429588783,0.9444736062141601
00075,0.009163179917339028,20.379537860596265,0.924187097203685
00076,0.0008138512788272781,30.894549497615277,0.9468692431983072
00077,0.0016575093466454673,27.805440139427333,0.9613580267177895
00078,0.0004397793330441384,33.56765183696882,0.9763753646693658
00079,0.0030239662121176957,25.1942306567507,0.9519070831302088
00080,0.0054819586221764305,22.6106424683889,0.9276039800752187
00081,0.0016730781869676154,27.764837629376935,0.9485777981608408
00082,0.000775033568006261,31.106794870624952,0.9540442461511702
00083,0.00032082722503066786,34.937287850920434,0.9741153681534342
00084,0.0006011728297902479,32.21000655727866,0.9706739125977037
00085,0.0011710390393991964,29.314286264365748,0.9381746604049113
00086,0.002024015009217962,26.937862712806723,0.8830990915303119
00087,0.0016815528952479814,27.742894668845786,0.9628910163446562
00088,0.0004125503583166338,33.84523031346379,0.9759613361966331
00089,0.0007230815750032541,31.40812704676002,0.9608137040777365
00090,0.0006772598532102552,31.692446678544627,0.9598626121442067
00091,0.0022406615662150216,26.49623735176144,0.9458501188782975
00092,0.0035189229035491993,24.535902480639106,0.9635332761099562
00093,0.0006231422088896424,32.05412830566757,0.9780524902744219
00094,0.004994682325475165,23.01492128795461,0.9265800095163286
00095,0.0002116017735076536,36.74480696649329,0.982955729807145
00096,0.0005031647661470291,32.98289777744945,0.9685881292825798
00097,0.005385109508226323,22.68805460734644,0.9355414987512631
00098,0.0030995994669630617,25.08694422464508,0.9537495008553378
00099,0.02560685726841568,15.916437192565647,0.06139695515692978
