ID,prefix,MSE,PSNR_dB,SSIM,p,sigma,frames_used
00100,chromosphere_100p,0.0019539759803808843,27.0908077923145,0.8974411237504683,11,4.5,50
00101,chromosphere_100p,0.0021691074406572663,26.63718935893158,0.7579648803148302,11,4.5,50
00102,chromosphere_100p,0.005078547476407518,22.942604832247028,0.8374896854147664,11,4.5,50
00103,chromosphere_100p,0.0013891937065726185,28.572371928295844,0.8804333919251803,11,4.5,50
00104,chromosphere_100p,0.003102032328047787,25.083536804683824,0.87276481257868,11,4.5,50
00105,chromosphere_100p,0.0030145335684263145,25.20779875672855,0.9234190891002072,11,4.5,50
00106,chromosphere_100p,0.0012800434774792163,28.92775279017259,0.934902162378421,11,4.5,50
00107,chromosphere_100p,0.004098369387903907,23.873889010108055,0.793779235897091,11,4.5,50
00108,chromosphere_100p,0.0010576776058194176,29.756466908552017,0.9157363123376854,11,4.5,50
00109,chromosphere_100p,0.0029816054052695996,25.255498329331033,0.8760263862859574,11,4.5,50
00110,chromosphere_100p,0.002578936805522863,25.885592997189693,0.8729437062283978,11,4.5,50
00111,chromosphere_100p,0.005827615345572934,22.345091217627555,0.8568073189526331,11,4.5,50
00112,chromosphere_100p,0.003203459585628478,24.943807506324003,0.9245024189149262,11,4.5,50
00113,chromosphere_100p,0.001279500494365946,28.929595419765917,0.937172965350328,11,4.5,50
00114,chromosphere_100p,0.001956734538729848,27.084680891017108,0.8989972643903457,11,4.5,50
00115,chromosphere_100p,0.0017587174901087877,27.54803917416105,0.8979045037413016,11,4.5,50
00116,chromosphere_100p,0.001014003096461811,29.939607187953605,0.9186115664197132,11,4.5,50
00117,chromosphere_100p,0.0009323049034151785,30.304420316211015,0.9287905829987722,11,4.5,50
00118,chromosphere_100p,0.006379227751179473,21.952318923918174,0.7320681931596482,11,4.5,50
00119,chromosphere_100p,0.002123107969232608,26.73027919517644,0.8832811793035944,11,4.5,50
00120,chromosphere_100p,0.005952268562322897,22.25317481947461,0.8330992295432225,11,4.5,50
00121,chromosphere_100p,0.0013451766839051226,28.71220668966012,0.9310172124678502,11,4.5,50
00122,chromosphere_100p,0.0036840603195883105,24.33673267658171,0.9021948063382297,11,4.5,50
00123,chromosphere_100p,0.0008919735255456845,30.49648035623932,0.9187332899891771,11,4.5,50
00124,chromosphere_100p,0.000994739361440819,30.022906968583815,0.9342315250978572,11,4.5,50
00125,chromosphere_100p,0.00204310960705732,26.89708334070783,0.9286097962321946,11,4.5,50
00126,chromosphere_100p,0.0018261401914975107,27.384658850401138,0.9313401378749404,11,4.5,50
00127,chromosphere_100p,0.001892774892200667,27.229010336264498,0.8772537142358487,11,4.5,50
00128,chromosphere_100p,0.0013215135246053512,28.789283878622612,0.8902221402095165,11,4.5,50
00129,chromosphere_100p,0.002296474177887279,26.389384335311064,0.9269631180068245,11,4.5,50
00130,chromosphere_100p,0.001372602305744966,28.624552759017995,0.9257599509728607,11,4.5,50
00131,chromosphere_100p,0.0010426801484252754,29.818488949077626,0.8906444409803953,11,4.5,50
00132,chromosphere_100p,0.0008149955209827402,30.888447780303615,0.9289043544995366,11,4.5,50
00133,chromosphere_100p,0.0041780690767140305,23.790243840331314,0.9316568734357134,11,4.5,50
00134,chromosphere_100p,0.0015457870753803377,28.108503282416724,0.8932470746949548,11,4.5,50
00135,chromosphere_100p,0.0008375235696951877,30.770029621484014,0.9406024414347485,11,4.5,50
00136,chromosphere_100p,0.001915620113414242,27.176906116487665,0.9159726856451016,11,4.5,50
00137,chromosphere_100p,0.0019791220464466766,27.035274233459067,0.8711731030343799,11,4.5,50
00138,chromosphere_100p,0.06990817290239748,11.554720483040617,0.03907627750611309,11,4.5,50
00139,chromosphere_100p,0.0021887954413852013,26.59794824466243,0.9200804864012753,11,4.5,50
00140,chromosphere_100p,0.0006287496547799487,32.01522240388827,0.9457214118447155,11,4.5,50
00141,chromosphere_100p,0.0006836208862446106,31.65184677018864,0.9468416939489543,11,4.5,50
00142,chromosphere_100p,0.007057611116159964,21.513422755253238,0.8572272815799806,11,4.5,50
